,round,variable,value
0,1,LEC,1.0
1,2,LEC,1.0
2,3,LEC,1.0
3,4,LEC,1.0
4,5,LEC,1.0
5,6,LEC,2.0
6,7,LEC,2.0
7,8,LEC,3.0
8,9,LEC,3.0
9,10,LEC,3.0
10,11,LEC,2.0
11,12,LEC,2.0
12,13,LEC,2.0
13,14,LEC,3.0
14,15,LEC,2.0
15,16,LEC,2.0
16,17,LEC,2.0
17,18,LEC,3.0
18,19,LEC,2.0
19,20,LEC,3.0
20,21,LEC,2.0
21,22,LEC,2.0
22,1,SAI,2.0
23,2,SAI,2.0
24,3,SAI,3.0
25,4,SAI,5.0
26,5,SAI,5.0
27,6,SAI,5.0
28,7,SAI,5.0
29,8,SAI,5.0
30,9,SAI,5.0
31,10,SAI,4.0
32,11,SAI,4.0
33,12,SAI,4.0
34,13,SAI,5.0
35,14,SAI,4.0
36,15,SAI,5.0
37,16,SAI,5.0
38,17,SAI,5.0
39,18,SAI,5.0
40,19,SAI,5.0
41,20,SAI,6.0
42,21,SAI,6.0
43,22,SAI,5.0
44,1,HAM,3.0
45,2,HAM,5.0
46,3,HAM,5.0
47,4,HAM,7.0
48,5,HAM,6.0
49,6,HAM,6.0
50,7,HAM,6.0
51,8,HAM,6.0
52,9,HAM,6.0
53,10,HAM,6.0
54,11,HAM,6.0
55,12,HAM,6.0
56,13,HAM,6.0
57,14,HAM,6.0
58,15,HAM,6.0
59,16,HAM,6.0
60,17,HAM,6.0
61,18,HAM,6.0
62,19,HAM,6.0
63,20,HAM,5.0
64,21,HAM,5.0
65,22,HAM,6.0
66,1,RUS,4.0
67,2,RUS,4.0
68,3,RUS,2.0
69,4,RUS,4.0
70,5,RUS,4.0
71,6,RUS,4.0
72,7,RUS,4.0
73,8,RUS,4.0
74,9,RUS,4.0
75,10,RUS,5.0
76,11,RUS,5.0
77,12,RUS,5.0
78,13,RUS,4.0
79,14,RUS,5.0
80,15,RUS,4.0
81,16,RUS,4.0
82,17,RUS,4.0
83,18,RUS,4.0
84,19,RUS,4.0
85,20,RUS,4.0
86,21,RUS,4.0
87,22,RUS,4.0
88,1,MAG,5.0
89,2,MAG,8.0
90,3,MAG,9.0
91,4,MAG,10.0
92,5,MAG,10.0
93,6,MAG,10.0
94,7,MAG,10.0
95,8,MAG,12.0
96,9,MAG,12.0
97,10,MAG,12.0
98,11,MAG,11.0
99,12,MAG,11.0
100,13,MAG,11.0
101,14,MAG,11.0
102,15,MAG,11.0
103,16,MAG,12.0
104,17,MAG,14.0
105,18,MAG,14.0
106,19,MAG,13.0
107,20,MAG,13.0
108,21,MAG,13.0
109,22,MAG,13.0
110,1,BOT,6.0
111,2,BOT,9.0
112,3,BOT,10.0
113,4,BOT,8.0
114,5,BOT,8.0
115,6,BOT,8.0
116,7,BOT,8.0
117,8,BOT,8.0
118,9,BOT,8.0
119,10,BOT,8.0
120,11,BOT,9.0
121,12,BOT,9.0
122,13,BOT,9.0
123,14,BOT,10.0
124,15,BOT,10.0
125,16,BOT,10.0
126,17,BOT,10.0
127,18,BOT,10.0
128,19,BOT,10.0
129,20,BOT,10.0
