,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2022-11-13 19:30:14.410,11332,307,8,100,False,0,car,0 days 00:00:00.144000,0 days 02:29:13.384000,12.279999999999998
1,2022-11-13 19:30:14.570,11364,307,8,100,False,0,car,0 days 00:00:00.304000,0 days 02:29:13.544000,25.92444444444444
2,2022-11-13 19:30:14.970,11360,309,8,100,False,0,car,0 days 00:00:00.704000,0 days 02:29:13.944000,60.25777777777777
3,2022-11-13 19:30:15.130,11351,307,8,100,False,0,car,0 days 00:00:00.864000,0 days 02:29:14.104000,73.9022222222222
4,2022-11-13 19:30:15.410,11360,308,8,100,False,0,car,0 days 00:00:01.144000,0 days 02:29:14.384000,97.85777777777776
5,2022-11-13 19:30:15.690,11342,309,8,100,False,0,car,0 days 00:00:01.424000,0 days 02:29:14.664000,121.89111111111109
6,2022-11-13 19:30:15.890,11428,309,8,100,False,0,car,0 days 00:00:01.624000,0 days 02:29:14.864000,139.05777777777777
7,2022-11-13 19:30:16.210,11396,310,8,100,False,0,car,0 days 00:00:01.944000,0 days 02:29:15.184000,166.61333333333332
8,2022-11-13 19:30:16.490,11427,309,8,100,False,0,car,0 days 00:00:02.224000,0 days 02:29:15.464000,190.64666666666668
9,2022-11-13 19:30:16.850,10947,300,8,1,True,0,car,0 days 00:00:02.584000,0 days 02:29:15.824000,220.64666666666668
10,2022-11-13 19:30:17.250,9482,262,8,0,True,0,car,0 days 00:00:02.984000,0 days 02:29:16.224000,249.7577777777778
11,2022-11-13 19:30:17.450,8446,235,8,0,True,0,car,0 days 00:00:03.184000,0 days 02:29:16.424000,262.81333333333333
12,2022-11-13 19:30:17.611,8214,212,8,0,True,0,car,0 days 00:00:03.345000,0 days 02:29:16.585000,272.2944444444444
13,2022-11-13 19:30:17.811,8684,184,8,0,True,0,car,0 days 00:00:03.545000,0 days 02:29:16.785000,282.51666666666665
14,2022-11-13 19:30:18.091,8795,162,8,0,True,0,car,0 days 00:00:03.825000,0 days 02:29:17.065000,295.1166666666667
15,2022-11-13 19:30:18.491,9992,141,8,0,True,0,car,0 days 00:00:04.225000,0 days 02:29:17.465000,310.7833333333333
16,2022-11-13 19:30:18.651,9288,141,7,0,True,0,car,0 days 00:00:04.385000,0 days 02:29:17.625000,317.04999999999995
17,2022-11-13 19:30:18.931,8740,127,4,0,True,0,car,0 days 00:00:04.665000,0 days 02:29:17.905000,326.92777777777775
18,2022-11-13 19:30:19.211,8192,123,3,0,True,0,car,0 days 00:00:04.945000,0 days 02:29:18.185000,336.4944444444444
19,2022-11-13 19:30:19.490,7900,114,3,0,True,0,car,0 days 00:00:05.224000,0 days 02:29:18.464000,345.3294444444444
20,2022-11-13 19:30:19.810,7618,111,3,2,False,0,car,0 days 00:00:05.544000,0 days 02:29:18.784000,355.19611111111107
21,2022-11-13 19:30:20.210,7475,104,3,13,False,0,car,0 days 00:00:05.944000,0 days 02:29:19.184000,366.7516666666666
22,2022-11-13 19:30:20.410,7495,103,3,20,False,0,car,0 days 00:00:06.144000,0 days 02:29:19.384000,372.47388888888884
23,2022-11-13 19:30:20.650,7920,105,3,27,False,0,car,0 days 00:00:06.384000,0 days 02:29:19.624000,379.47388888888884
24,2022-11-13 19:30:20.890,8008,110,3,46,False,0,car,0 days 00:00:06.624000,0 days 02:29:19.864000,386.80722222222215
25,2022-11-13 19:30:21.050,8355,113,3,52,False,0,car,0 days 00:00:06.784000,0 days 02:29:20.024000,391.8294444444444
26,2022-11-13 19:30:21.530,9747,132,3,83,False,0,car,0 days 00:00:07.264000,0 days 02:29:20.504000,409.4294444444444
27,2022-11-13 19:30:21.970,9262,146,4,64,False,0,car,0 days 00:00:07.704000,0 days 02:29:20.944000,427.27388888888885
28,2022-11-13 19:30:22.370,9695,153,4,58,False,0,car,0 days 00:00:08.104000,0 days 02:29:21.344000,444.27388888888885
29,2022-11-13 19:30:22.570,9630,154,4,56,False,0,car,0 days 00:00:08.304000,0 days 02:29:21.544000,452.82944444444445
30,2022-11-13 19:30:22.770,10030,156,4,60,False,0,car,0 days 00:00:08.504000,0 days 02:29:21.744000,461.4961111111111
31,2022-11-13 19:30:23.010,10246,161,4,73,False,0,car,0 days 00:00:08.744000,0 days 02:29:21.984000,472.2294444444444
32,2022-11-13 19:30:23.210,10345,166,4,74,False,0,car,0 days 00:00:08.944000,0 days 02:29:22.184000,481.4516666666667
33,2022-11-13 19:30:23.490,10813,176,4,85,False,0,car,0 days 00:00:09.224000,0 days 02:29:22.464000,495.1405555555556
34,2022-11-13 19:30:23.730,11580,183,4,100,False,0,car,0 days 00:00:09.464000,0 days 02:29:22.704000,507.34055555555557
35,2022-11-13 19:30:24.010,10518,191,4,100,False,0,car,0 days 00:00:09.744000,0 days 02:29:22.984000,522.1961111111111
36,2022-11-13 19:30:24.371,11189,204,5,100,False,0,car,0 days 00:00:10.105000,0 days 02:29:23.345000,542.6527777777778
37,2022-11-13 19:30:24.571,11317,209,5,100,False,0,car,0 days 00:00:10.305000,0 days 02:29:23.545000,554.2638888888889
38,2022-11-13 19:30:24.891,11873,218,5,100,False,0,car,0 days 00:00:10.625000,0 days 02:29:23.865000,573.6416666666667
39,2022-11-13 19:30:25.091,10546,223,6,100,False,0,car,0 days 00:00:10.825000,0 days 02:29:24.065000,586.0305555555555
40,2022-11-13 19:30:25.251,10738,226,6,100,False,0,car,0 days 00:00:10.985000,0 days 02:29:24.225000,596.0749999999999
41,2022-11-13 19:30:25.731,11246,236,6,100,False,0,car,0 days 00:00:11.465000,0 days 02:29:24.705000,627.5416666666666
42,2022-11-13 19:30:25.891,11316,239,6,100,False,0,car,0 days 00:00:11.625000,0 days 02:29:24.865000,638.1638888888889
43,2022-11-13 19:30:26.090,11480,241,6,100,False,0,car,0 days 00:00:11.824000,0 days 02:29:25.064000,651.4858333333333
44,2022-11-13 19:30:26.330,11695,245,6,100,False,0,car,0 days 00:00:12.064000,0 days 02:29:25.304000,667.8191666666667
45,2022-11-13 19:30:26.730,10604,251,7,100,False,0,car,0 days 00:00:12.464000,0 days 02:29:25.704000,695.7080555555556
46,2022-11-13 19:30:26.890,10612,254,7,100,False,0,car,0 days 00:00:12.624000,0 days 02:29:25.864000,706.9969444444445
47,2022-11-13 19:30:27.170,10735,256,7,100,False,0,car,0 days 00:00:12.904000,0 days 02:29:26.144000,726.9080555555555
48,2022-11-13 19:30:27.370,10866,260,7,100,False,0,car,0 days 00:00:13.104000,0 days 02:29:26.344000,741.3524999999998
49,2022-11-13 19:30:27.570,10981,262,7,100,False,0,car,0 days 00:00:13.304000,0 days 02:29:26.544000,755.9080555555555
