,Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
0,2022-11-13 18:02:47.435,9114,0,1,21,False,1,car,0 days 00:00:00.132000,0 days 01:01:46.409000,0.0
1,2022-11-13 18:02:47.835,8675,0,1,21,False,1,car,0 days 00:00:00.532000,0 days 01:01:46.809000,0.0
2,2022-11-13 18:02:47.995,7555,6,1,21,False,1,car,0 days 00:00:00.692000,0 days 01:01:46.969000,0.2666666666666665
3,2022-11-13 18:02:48.195,6155,13,1,21,False,1,car,0 days 00:00:00.892000,0 days 01:01:47.169000,0.9888888888888889
4,2022-11-13 18:02:48.355,5035,20,1,21,False,1,car,0 days 00:00:01.052000,0 days 01:01:47.329000,1.877777777777778
5,2022-11-13 18:02:48.556,4262,27,1,22,False,1,car,0 days 00:00:01.253000,0 days 01:01:47.530000,3.3852777777777767
6,2022-11-13 18:02:48.756,4345,34,1,26,False,1,car,0 days 00:00:01.453000,0 days 01:01:47.730000,5.274166666666668
7,2022-11-13 18:02:49.036,4933,45,1,34,False,1,car,0 days 00:00:01.733000,0 days 01:01:48.010000,8.774166666666668
8,2022-11-13 18:02:49.196,6007,49,1,45,False,1,car,0 days 00:00:01.893000,0 days 01:01:48.170000,10.951944444444445
9,2022-11-13 18:02:49.556,8210,65,1,57,False,1,car,0 days 00:00:02.253000,0 days 01:01:48.530000,17.451944444444447
10,2022-11-13 18:02:49.795,9890,73,1,67,False,1,car,0 days 00:00:02.492000,0 days 01:01:48.769000,22.298333333333332
11,2022-11-13 18:02:49.955,11010,81,1,72,False,1,car,0 days 00:00:02.652000,0 days 01:01:48.929000,25.898333333333333
12,2022-11-13 18:02:50.195,11751,88,1,69,False,1,car,0 days 00:00:02.892000,0 days 01:01:49.169000,31.764999999999993
13,2022-11-13 18:02:50.675,11891,109,1,82,False,1,car,0 days 00:00:03.372000,0 days 01:01:49.649000,46.298333333333325
14,2022-11-13 18:02:50.915,10717,124,2,88,False,1,car,0 days 00:00:03.612000,0 days 01:01:49.889000,54.565
15,2022-11-13 18:02:51.235,10997,139,2,100,False,1,car,0 days 00:00:03.932000,0 days 01:01:50.209000,66.92055555555555
16,2022-11-13 18:02:51.395,10477,144,2,100,False,1,car,0 days 00:00:04.092000,0 days 01:01:50.369000,73.32055555555554
17,2022-11-13 18:02:51.555,10477,148,3,100,False,1,car,0 days 00:00:04.252000,0 days 01:01:50.529000,79.89833333333333
18,2022-11-13 18:02:51.875,10934,165,3,100,False,1,car,0 days 00:00:04.572000,0 days 01:01:50.849000,94.56500000000001
19,2022-11-13 18:02:52.155,11026,177,4,100,False,1,car,0 days 00:00:04.852000,0 days 01:01:51.129000,108.33166666666669
20,2022-11-13 18:02:52.435,11635,187,4,100,False,1,car,0 days 00:00:05.132000,0 days 01:01:51.409000,122.8761111111111
21,2022-11-13 18:02:52.715,11093,193,4,100,False,1,car,0 days 00:00:05.412000,0 days 01:01:51.689000,137.88722222222222
22,2022-11-13 18:02:53.115,11168,205,5,100,False,1,car,0 days 00:00:05.812000,0 days 01:01:52.089000,160.66500000000002
23,2022-11-13 18:02:53.395,11194,208,5,100,False,1,car,0 days 00:00:06.092000,0 days 01:01:52.369000,176.84277777777777
24,2022-11-13 18:02:53.555,11449,210,5,100,False,1,car,0 days 00:00:06.252000,0 days 01:01:52.529000,186.1761111111111
25,2022-11-13 18:02:53.795,11875,210,5,100,False,1,car,0 days 00:00:06.492000,0 days 01:01:52.769000,200.1761111111111
26,2022-11-13 18:02:53.995,11875,210,5,100,False,1,car,0 days 00:00:06.692000,0 days 01:01:52.969000,211.8427777777778
27,2022-11-13 18:02:54.315,11875,211,5,100,False,1,car,0 days 00:00:07.012000,0 days 01:01:53.289000,230.5983333333333
28,2022-11-13 18:02:54.675,10475,211,6,13,True,1,car,0 days 00:00:07.372000,0 days 01:01:53.649000,251.69833333333332
29,2022-11-13 18:02:54.996,8900,162,6,1,True,1,car,0 days 00:00:07.693000,0 days 01:01:53.970000,266.1433333333333
30,2022-11-13 18:02:55.276,9061,142,4,10,True,1,car,0 days 00:00:07.973000,0 days 01:01:54.250000,277.1877777777778
31,2022-11-13 18:02:55.596,9293,134,3,10,True,1,car,0 days 00:00:08.293000,0 days 01:01:54.570000,289.0988888888889
32,2022-11-13 18:02:55.876,8780,125,3,21,True,1,car,0 days 00:00:08.573000,0 days 01:01:54.850000,298.8211111111112
33,2022-11-13 18:02:56.076,8955,122,3,32,True,1,car,0 days 00:00:08.773000,0 days 01:01:55.050000,305.59888888888895
34,2022-11-13 18:02:56.316,8088,118,3,17,True,1,car,0 days 00:00:09.013000,0 days 01:01:55.290000,313.4655555555556
35,2022-11-13 18:02:56.515,8508,117,3,14,False,1,car,0 days 00:00:09.212000,0 days 01:01:55.489000,319.9330555555556
36,2022-11-13 18:02:56.675,7813,115,3,15,True,1,car,0 days 00:00:09.372000,0 days 01:01:55.649000,325.04416666666674
37,2022-11-13 18:02:56.995,7508,110,3,12,True,1,car,0 days 00:00:09.692000,0 days 01:01:55.969000,334.8219444444445
38,2022-11-13 18:02:57.435,7314,104,3,10,False,1,car,0 days 00:00:10.132000,0 days 01:01:56.409000,347.5330555555556
39,2022-11-13 18:02:57.595,7117,101,3,11,False,1,car,0 days 00:00:10.292000,0 days 01:01:56.569000,352.0219444444445
40,2022-11-13 18:02:57.795,7290,100,3,21,False,1,car,0 days 00:00:10.492000,0 days 01:01:56.769000,357.5775000000001
41,2022-11-13 18:02:57.995,7564,101,3,34,False,1,car,0 days 00:00:10.692000,0 days 01:01:56.969000,363.1886111111112
42,2022-11-13 18:02:58.395,7864,108,3,52,False,1,car,0 days 00:00:11.092000,0 days 01:01:57.369000,375.1886111111112
43,2022-11-13 18:02:58.915,9405,129,3,78,False,1,car,0 days 00:00:11.612000,0 days 01:01:57.889000,393.8219444444445
44,2022-11-13 18:02:59.115,9870,136,3,73,False,1,car,0 days 00:00:11.812000,0 days 01:01:58.089000,401.37750000000005
45,2022-11-13 18:02:59.275,9826,138,3,54,False,1,car,0 days 00:00:11.972000,0 days 01:01:58.249000,407.5108333333334
46,2022-11-13 18:02:59.515,9778,136,3,30,False,1,car,0 days 00:00:12.212000,0 days 01:01:58.489000,416.57750000000004
47,2022-11-13 18:02:59.715,9649,136,3,42,False,1,car,0 days 00:00:12.412000,0 days 01:01:58.689000,424.13305555555564
48,2022-11-13 18:03:00.115,9732,136,3,46,False,1,car,0 days 00:00:12.812000,0 days 01:01:59.089000,439.24416666666673
49,2022-11-13 18:03:00.275,9923,139,3,65,False,1,car,0 days 00:00:12.972000,0 days 01:01:59.249000,445.42194444444453
50,2022-11-13 18:03:00.675,10294,146,3,70,False,1,car,0 days 00:00:13.372000,0 days 01:01:59.649000,461.64416666666676
51,2022-11-13 18:03:00.875,11160,146,3,80,False,1,car,0 days 00:00:13.572000,0 days 01:01:59.849000,469.75527777777785
52,2022-11-13 18:03:01.035,11189,158,3,81,False,1,car,0 days 00:00:13.732000,0 days 01:02:00.009000,476.7775000000001
53,2022-11-13 18:03:01.355,12313,171,3,100,False,1,car,0 days 00:00:14.052000,0 days 01:02:00.329000,491.9775000000001
54,2022-11-13 18:03:01.596,11470,179,3,100,False,1,car,0 days 00:00:14.293000,0 days 01:02:00.570000,503.96055555555563
55,2022-11-13 18:03:01.796,11840,185,4,100,False,1,car,0 days 00:00:14.493000,0 days 01:02:00.770000,514.2383333333335
56,2022-11-13 18:03:02.236,11622,199,4,100,False,1,car,0 days 00:00:14.933000,0 days 01:02:01.210000,538.5605555555557
57,2022-11-13 18:03:02.436,11161,205,5,100,False,1,car,0 days 00:00:15.133000,0 days 01:02:01.410000,549.9494444444445
58,2022-11-13 18:03:02.596,11388,207,5,100,False,1,car,0 days 00:00:15.293000,0 days 01:02:01.570000,559.1494444444445
59,2022-11-13 18:03:02.876,11761,215,5,100,False,1,car,0 days 00:00:15.573000,0 days 01:02:01.850000,575.8716666666668
60,2022-11-13 18:03:03.275,10704,223,5,100,False,1,car,0 days 00:00:15.972000,0 days 01:02:02.249000,600.5875000000001
61,2022-11-13 18:03:03.515,10896,229,6,100,False,1,car,0 days 00:00:16.212000,0 days 01:02:02.489000,615.8541666666667
62,2022-11-13 18:03:03.715,11058,232,6,100,False,1,car,0 days 00:00:16.412000,0 days 01:02:02.689000,628.7430555555555
63,2022-11-13 18:03:03.955,11302,236,6,100,False,1,car,0 days 00:00:16.652000,0 days 01:02:02.929000,644.476388888889
64,2022-11-13 18:03:04.195,11485,239,6,100,False,1,car,0 days 00:00:16.892000,0 days 01:02:03.169000,660.4097222222223
65,2022-11-13 18:03:04.515,11657,245,6,100,False,1,car,0 days 00:00:17.212000,0 days 01:02:03.489000,682.1875000000001
66,2022-11-13 18:03:04.915,10433,251,7,100,False,1,car,0 days 00:00:17.612000,0 days 01:02:03.889000,710.0763888888889
67,2022-11-13 18:03:05.155,10585,254,7,100,False,1,car,0 days 00:00:17.852000,0 days 01:02:04.129000,727.0097222222224
68,2022-11-13 18:03:05.515,10856,260,7,100,False,1,car,0 days 00:00:18.212000,0 days 01:02:04.489000,753.0097222222224
69,2022-11-13 18:03:05.795,11011,263,7,100,False,1,car,0 days 00:00:18.492000,0 days 01:02:04.769000,773.465277777778
70,2022-11-13 18:03:05.995,11024,266,7,100,False,1,car,0 days 00:00:18.692000,0 days 01:02:04.969000,788.2430555555558
71,2022-11-13 18:03:06.275,11207,270,7,100,False,1,car,0 days 00:00:18.972000,0 days 01:02:05.249000,809.2430555555559
72,2022-11-13 18:03:06.435,11353,272,7,100,False,1,car,0 days 00:00:19.132000,0 days 01:02:05.409000,821.3319444444447
73,2022-11-13 18:03:06.755,11430,276,7,100,False,1,car,0 days 00:00:19.452000,0 days 01:02:05.729000,845.865277777778
74,2022-11-13 18:03:06.955,11547,278,7,100,False,1,car,0 days 00:00:19.652000,0 days 01:02:05.929000,861.3097222222224
75,2022-11-13 18:03:07.155,10631,281,7,100,False,1,car,0 days 00:00:19.852000,0 days 01:02:06.129000,876.9208333333335
76,2022-11-13 18:03:07.395,10482,283,8,100,False,1,car,0 days 00:00:20.092000,0 days 01:02:06.369000,895.7875
77,2022-11-13 18:03:07.555,10529,285,8,100,False,1,car,0 days 00:00:20.252000,0 days 01:02:06.529000,908.4541666666667
78,2022-11-13 18:03:07.915,10642,289,8,100,False,1,car,0 days 00:00:20.612000,0 days 01:02:06.889000,937.3541666666666
79,2022-11-13 18:03:08.116,10659,289,8,100,False,1,car,0 days 00:00:20.813000,0 days 01:02:07.090000,953.49
80,2022-11-13 18:03:08.516,10798,293,8,100,False,1,car,0 days 00:00:21.213000,0 days 01:02:07.490000,986.0455555555558
81,2022-11-13 18:03:08.756,10749,294,8,100,False,1,car,0 days 00:00:21.453000,0 days 01:02:07.730000,1005.6455555555557
82,2022-11-13 18:03:08.916,10845,295,8,100,False,1,car,0 days 00:00:21.613000,0 days 01:02:07.890000,1018.7566666666668
83,2022-11-13 18:03:09.396,11068,297,8,100,False,1,car,0 days 00:00:22.093000,0 days 01:02:08.370000,1058.3566666666668
